licensetype	businessname	legaldescription	description	subtype	job_value
			INTERIOR ALTERATIONS TO SINGLE FAMILY RESIDENCE SUBJECT TO FIELD INSPECTION		
			REBUILD EXISTING DECK TO SIMILAR CONFIGURATION ATTACHED TO EXISTING SFR + ESTABLISH PARKING TO COMPLETE & FINAL 704760 PER PLOT PLAN & STFI		
			ALTER ROOF OF GARAGE TO PITCHED ROOF ALL PER PLANS		
			INTERIOR ALTERATIONS TO SINGLE FAMILY RESIDENCE (BEDROOM/BATHROOM REMODEL), SUBJECT TO FIELD INSPECTION (STFI)		
REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE	BALLARD NATURAL GAS SVCS INC		REPLACE ELECTRIC FURNACE WITH GAS	SINGLE FAMILY / DUPLEX	
		LOT 2, BLK 64, MOUNT BAKER PARK ADDITION	Construct segmented block retaining wall and rockery to raise grade in rear yard and construct deck to single family dwelling per plan.	SINGLE FAMILY / DUPLEX	$120,000.00
			CONSTRUCT 2ND STORY ADDITION TO EXISTING SFR PER PLANS.		
			FOUNDATION UPGRADE TO EXISTING SINGLE FAMILY RESIDENCE, SUBJECT TO FIELD INSPECTION (STFI)		
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE	SHORELINE SIGN & AWNING		Install new illum wall sign - FARMERS INSURANCE GROUP	COMMERCIAL	
			CONSTRUCT 2ND STORY ADDITION TO EXISTING SINGLE FAMILY RESIDENCE PER PLANS		
ELECTRICAL CONTRACTOR LICENSE	GLOBE ELECTRIC INCORPORATED		INSTALL DEDICATED RECEPTACLE FOR COPIER MACHINE.	COMMERCIAL	
	DUNN CONSTRUCTION	W 60' OF LOTS 23 & 24, BLOCK 103, LAKEWOOD, A REPLAT OF PART OF MAYNARD'S LAKE WASHINGTON ADDITION	Closed as Incomplete - Expired Permit Construct 2nd story addition east side, and alter 2nd floor and portion of 1st floor of existing single family dwelling, per plan.	SINGLE FAMILY / DUPLEX	$56,400.00
ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., REGIS. SIDE SEWER CONTRACTOR, GENERAL 	MERIT MECHANICAL INC		Like for Like replacement of an Air Conditioning Unit.	COMMERCIAL	
			REPAIR FIRE DAMAGE IN KIND TO 1ST AND 2ND FLOOR ARTIST STUDIOS (SPACE 104 & 204) SUBJECT TO FIELD INSPECTION		
			INSTALL 2 ROOFTOP PACKAGED AIR CONDITIONERS AND DISTRIBUTION SYSTEMS PER PLAN		
			ADJUST THE BOUNDARY LINE BETWEEN 2 PARCELS OF LAND		
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	METROPOLITAN SEWER SERVICE LLC		REPAIR	SINGLE FAMILY / DUPLEX	
GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL	BOB'S HEATING & A/C INC		INSTALL NEW GAS FURNACE IN SINGLE FAMILY RESIDENCE	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	MAURO ELECTRIC INC		[TEMPORARY POWER. ]	SINGLE FAMILY / DUPLEX	
		LOT 20, BLOCK 8, HAINSWORTHS FAUNTLEROY GROVE ADD	Construct 2nd floor addition and 1st floor alterations to existing single family residence, per plan.	SINGLE FAMILY / DUPLEX	$225,000.00
			ONE-STORY ADDITION TO SINGLE FAMILY RESIDENCE PER PLOT PLAN,SUBJECT TO FIELD INSPECTION		
		LOT 3, BLOCK 3, HELGESONS VIEW HEIGHTS ADD	Construct interior alterations to basement of existing single family residence, per floor, elevation plans and details, subject to field inspection.	SINGLE FAMILY / DUPLEX	$59,813.00
ELECTRICAL CONTRACTOR LICENSE	SKY VALLEY ELEC SECURITY LLC		INTRUSION ALARM	SINGLE FAMILY / DUPLEX	
					
		W 54.5 FT OF E 220.78 FT OF S 1/2 OF TR 22 ,SUBD OF SEC 16-24-4, LESS W 10 FT OF S 120 FT THOF TGW N 16 FT OF S 137 FT LESS E 220.78 FT LESS W 25 FT	Remove existing detached garage and construct detached accessory dwelling unit (DADU) accessory to existing single family residence, per plans.	SINGLE FAMILY / DUPLEX	$88,032.00
ELECTRICAL CONTRACTOR LICENSE	EXPERT ELECTRIC		WIRING OF NEW INDOOR T-MOBILE CELL SITE	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE	CLEAR CHANNEL OUTDOOR INC		BREAKDOWN & REMOVAL OF (1) BACK TO BACK BILLBOARD. BILLBOARD REG. #21. (NON-CONFORMING: DISPERSION) HAS RELOCATION RIGHTS	COMMERCIAL	
		POR OF SW QTR OF NW QTR & N 1/2 OF SW QTR OF 16-24-4 LYG W OF BEACON AV S & S OF S SPOKANE ST, TGW BLKS 7 & 9,JEFFERSON PARK ADDITION DIVISION NO #2TGW ROW VAC UNDER VO#86853, EXC LOT 15, SD BLK 9 & EXC PORTION OF SC BLK 7 & SD VAC ROW TRANFERRED FOR ST UNDER TJO #97337.	Install a minor communication utility (T-Mobile) consisting of three panel antennas on a new 45' monopole. Four equipment cabinets will be located at grade per plans	COMMERCIAL	$0.00
		LOTS 1-11, INCLUSIVE, BLOCK 392, SEATTLE TIDE LANDS, TGW THAT PORTION OF VAC 10TH AV SW ADJ	Construct initial tenant improvement to portion of 1st floor (space 116) for office, dispatch monitoring center, and accessory HMS marine clothing sales. Construct initial tenant improvement to portion of 2nd floor (space 202B) for office space and conference room, and occupy, all per plan.	INDUSTRIAL	$645,570.00
GENERAL CONTRACTOR LICENSE	MARTY'S GAS PPNG/HRTH PROD LLC		Installing 2-fireplaces in commerical building, per plan.	COMMERCIAL	
		POR OF SD LOTS DAF - BEG AT NXN OF S MGN OF SW SPOKANE ST WITH SWLY MGN OF DUWAMISH W WATERWAY TH S 41-06-02 E ALG SD SWLY MGN 83.93 FT TH S 01-08-43 W 27.80 FT TH N 88-51-17 W 53 FT TH N 59-03-00 W 167.91 FT TH N 89-29-14 W 40 FT TH N 00-30-46 E 6.91 FT TO S MGN OF SW SPOKANE ST TH ELY ALG SD S MGN 182.35 FT TO TPOB	Shoreline Substantial Development Application to allow 1.07 acres of shoreline habitat restoration in an environmentally critical area. Project also includes 6,630 cu.yds. of grading. Utilities access relocated on the site along with pedestrian/access and viewing area. Parking relocated on site and reduce from 25 stalls to 21.	INDUSTRIAL	
	SEATTLE SCHOOL DISTRICT (A&S)	BLK 1, TGW VAC ALLEY (VO #90711) BRYAN'S SOUNDVIEW, TGW LOTS 1-11, BLK 1 JAMES MADISON 2ND; TGW VAC 50THAV SW, (VO #38425,82557) .....SEE FILE....501400-0054	Alterations to existing classroom area to add unisex restroom in existing school building, (including mechanical), per plan.	INSTITUTIONAL	$12,000.00
ELEVATOR CONTRACTOR LICENSE	SCHINDLER ELEVATOR COMPANY		INSTALL (1) NEW HYDRAULIC ELEVATOR		
	SEATTLE SCHOOL DISTRICT (A&S)	BLK 1, TGW VAC ALLEY (VO #90711) BRYAN'S SOUNDVIEW, TGW LOTS 1-11, BLK 1 JAMES MADISON 2ND; TGW VAC 50THAV SW, (VO #38425,82557) .....SEE FILE....501400-0054	Install (1) 28x32 portable classroom per plan this permit.[Install (1) 28x32 and (1) 28x64 single portable classrooms and entry ramps on Schmitz Park Elementary School site (coming from SSD Port of Seattle Storage Yard), and occupy per plan.]	INSTITUTIONAL	$4,000.00
ELECTRICAL CONTRACTOR LICENSE	C & R ELECTRIC INCORPORATED		CLEAN UP & DEMO NON USED WIRING, REPLACE FUSE BOXES. 11/30/10 JCB; ADDED 1 HOUR INSPECTION FEE PER INSPECTOR FOR DOING WORK W/O A PERMIT.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	ACTIVE ELECTRIC CORPORATION		WIRE ONE RECEPTACLE IN ROOM 7 (SPECIAL NEEDS RM) AND LOW VOLT FOR PROJECTOR. 9/8/10 JCB; REVISED WORK LOCATION & OWNER INFO PER CONTRACTOR.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	ACTIVE ELECTRIC CORPORATION		WIRE ONE RECEPTACLE AND LOW VOLT FOR PROJECTOR IN EACH ROOM	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	CITI LIGHTS ELECTRIC INC		200 A SERVICE SEE COVER INSPECTION. LOWER BUILDING. 6/13/07 BEW ADDED MISC CONNECTIONS	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE, REGIS. SID	WASHINGTON ENERGY SVCS (WESCO)		INSTALL NEW GAS FURNACE	SINGLE FAMILY / DUPLEX	
			CONSTRUCT RETAINING WALL 1200 SQ FT COMMERCIAL STRUCTURE GRADE APPROX 518000 CU YDS OF EARTH FOR INTERIM CLEAN-UP ACTION ON SITE, PER PLANS		
			ALTERATIONS TO THREE BUILDINGS & CHANGE USE FROM WAREHOUSE/OFFICE AREAS TO ARTIST'S STUDIO DWELLING UNITS, RETAIL SPACE & ACCESSORY STORAGE/SHOP AREAS, AND OCCUPY PER PLANS		
			INSTALL SPRINKLER SYSTEM ON PORTION OF 1ST FLOOR TO COMPLY W/ VIOLATION BC-862200, PER PLANS		
			INSTALL DUCTWORK & EXHAUST SYSTEM IN ADMIN. BLDG. AT TERMINAL 5, PER PLAN		
			EST USE FOR FUT CONST OF OFFICES AND PIER APRON SHORELINE SUB FOR CONTAINER TERMINAL/OFFICES/APRON		
		S 15' LOT 5, ALL LOT 8, BLK 16, BOREN'S, LESS ST PER CO #13074	Rebuild Letter		
ELECTRICAL CONTRACTOR LICENSE	GEHL ELECTRIC		KITCHEN LIGHTING UPGRADE	MULTIFAMILY	
		FIRST HILL PLAZA, A CONDOMINIUM (2ND AMENDMENT- VOL 86, PGS 86-88), TGW FIRST HILL PLAZA RETAIL BLDG, A CONDOMINIUM (3RD AMENDMENT-VOL 101, PG 3)	Interior, non-structural aterations to condominium dwelling unit to restore Units J & G on floor 19 of existing condominium unit (First Hill Plaza), per plan.	MULTIFAMILY	$23,500.00
	TEKNON CORPORATION		VOICE AND DATA CABLING	COMMERCIAL	
	HSM ELECT PROTECTION SVCS INC		MOVE EXISTING LSS1 FACP TO ADJACENT WALL IN SAME FRONT LOBBY ROOM ADD VISTA 32FB DIALER NEXT TO FACT TO REPLACE EXISTING STV FOR COMMUNICATION.	COMMERCIAL	
ELEVATOR CONTRACTOR LICENSE	VERTICAL TRNSPTN SERVICES INC		REPLACE GOV & ROPE		
ELECTRICAL CONTRACTOR LICENSE	PACIFIC FIRE & SECURITY INC		RELOCATE F/A DEVICES	COMMERCIAL	
			ALTERATIONS TO EARTHQUAKE DAMAGED CHIMNEY TO ROOF LINE OF EXISTING CONDOMINIUM. SUBJECT TO FIELD INSPECTION (STFI) BC: 220737		
			REPLACE 3 EXISTING BULIDING EXHAUST FANS WITH NEW LIKE SIZE & KIND, BUT W/ HIGH EFFICIENCY MOTORS SUBJECT TO FIELD INSPECTION (STFI)		
			CONVERT EXIST HEATED PORCH INTO KITCHEN & RENOVATE EXIST KITCHEN & ADD BATHROOM. ALL TO EXIST SINGLE FAMILY RESIDENCE & SUBJECT TO FIELD INSPECTION		
			APARTMENT 31ST FLOOR PER PLANS COMPLETE ABOVE WORK OF PERMIT: 614158		
ELECTRICAL CONTRACTOR LICENSE	BOWIE ELECTRIC SVC&SUPPLY INC		REWIRE UNIT	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	ELLIOTT BAY ELECTRIC		WIRE NEW GARAGE	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	ELLIOTT BAY ELECTRIC		WIRE NEW DETACHED GARAGE WITH LAUNDRY INCLUDING 200AMP SERVICE	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	LANDER ELECTRIC SERVICE LLC		UNIT A: LINE VOLTAGE, PHONE, TV WIRING	SINGLE FAMILY / DUPLEX	
			INITIAL T.I. FOR SALON IN VACANT RETAIL USE SPACE AND OCCUPY, PER PLANS		
			INSTALL TYPE II HOOD PER PLAN.		
ELECTRICAL CONTRACTOR LICENSE	MCGINNIS ELECTRIC LLC		ADD 20AMP CIRCUIT FOR HEAT PUMP	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE, REFRIGERAT	EVERGREEN REFRIGERATION LLC		INSTALL NEW BOILER	SINGLE FAMILY / DUPLEX	
REFRIGERATION CONTRACTOR LIC., ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE	BRUCE SMITH HTG & COOLING INC		INSTALL FURNACE AND VENTING	SINGLE FAMILY / DUPLEX	
			ESTABLISH USE AS TOWNHOUSE CONSTRUCT TOWNHOUSE UNIT ALL PER PLANS		
			CONSTRUCT DECK ADD. (TO REPLACE FORMER DECK) ALTS. TO ENCLOSE EXIST. COVERED AREA FOR STORAGE, ALL TO SINGLE FAMILY RESIDENCE, TO COMPLY BC930846 PER PLOT PLAN & SUBJECT TO FIELD INSPECTION (STFI) COMPLETE ABOVE WORK OF PERMIT: 669470		
			ALTER RESTROOMS, STFI IN EXISTING BOYS CLUB/BUS PORT/STORAGE BUILDING		
			FOR FUTURE EXPANSION OF AN EXISTING DUPLEX		
			REPAIR & REROUTE SIDE SEWER	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	ELMECCO INC		BASEMENT REMODEL, ADD NEW 200 AMP SERVICE.	SINGLE FAMILY / DUPLEX	
			INTERIOR ALTERATION TO THE KITCHEN AND DINING ROOM RELOCATE AND REPLACE SKYLIGHTS. SUBJECT TO FIELD INSPECTION. (STFI)		
GENERAL CONTRACTOR LICENSE	BENJAMIN CUSTOM HOMES LLC	N 10 FT OF LOT 9 & ALL OF LOT 10, BLOCK 18, SANDERS SUPL PLAT &quot;A.K.A. UNIT LOTS A-d , SP #3015701&quot;	Construct northwest single family residence (unit 2) and occupy per plan (Establish use as single family residences, demolish existing single family residence and accessory structure, construct 4 single family residences with parking/review & process for 4 AP's under 6357150).	MULTIFAMILY	$217,759.00
ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE	AMPLE ELECTRIC GROUP INC		[UFER GROUND] WIRE NEW SINGLE FAMILY RESIDENCE WITH 100A SERVICE.	SINGLE FAMILY / DUPLEX	
		LOTS 8-10, BLK 14, SANDER'S SUPPLEMENTAL	Establish as townhouse and construct 4-unit townhouse with attached garages- north building this permit per plans. (Construction of two 4-unit townhouses with review and processing for two A/P's under 6113480).	MULTIFAMILY	$446,588.00
REFRIGERATION CONTRACTOR LIC.	GREENWOOD HEATING AND AC		LINE SETS FOR NEW HEAT PUMP	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	ADVANCED ENERGY MANAGEMENT INC		1 DUCTLESS HEAT PUMP SYSTEM	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	MIKE'S LAKESIDE ELECTRIC		REPLACE 200 AMP SERVICE	SINGLE FAMILY / DUPLEX	
			FINISH OUT BASEMENT OF SINGLE FAMILY RESIDENCE TO ADD LIVING SPACE SUBJECT TO FIELD INSPECTION (STFI)		
ELECTRICAL CONTRACTOR LICENSE	AS YOU WISH ELECTRIC		INSTALL 30 AMP CIRCUIT FOR A/C 3 TON UNIT	SINGLE FAMILY / DUPLEX	
GENERAL CONTRACTOR LICENSE	CREATIVE BUILDERS CO	LOTS 14-15, BLOCK A, SEA SHORE ADD TO ALKI POINTAKA UNIT LOT A-D, SP #3008985	Establish use and construct North duplex structure with one unit with surface parking per plan (Construct (1) duplex structure and surface parking and (2) new single family residences with surface parking per plan. Review and Processing under A/P# 6119951)	SINGLE FAMILY / DUPLEX	$277,677.00
			INSTALL (2) GAS FURNACES	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	GC ELECTRIC		RELOCATE METERBASE FROM NORTH OF BUILDING TO SOUTH OF BUILDING FOR EXISTING 125AMP PANEL.	SINGLE FAMILY / DUPLEX	
					
	SAFETY TEAM INCORPORATED, THE		REPLACE EXISTING FACP W/ NEW	COMMERCIAL	
			Modification of ductwork, added 1 VAV box and 16 diffuser	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	INTEGRITY NETWORKS INC		COMM CABLING	COMMERCIAL	
			6/14/2012 VJW: ADMINISTRATIVE TRACKING PERMIT FOR REPORTING SANITARY CONNECTIONS TO KING COUNTY.	INSTITUTIONAL	
	BLANKET: PLAZA 600	APN 065900-0555: LTS 1-5, BLK 11, HEIR'S OF SARAH BELL ADDITION. LESS STREETS.	Blanket Permit for interior non-structural alterations for 8th floor for Puget Sound Health Alliance.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE	SHORELINE SIGN & AWNING		INSTALLING (2) LED ILLUMINATED CHANNEL LETTERS FOR PRECOR HOME FITNESS	COMMERCIAL	
			Stand alone Fire Sprinklers	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	RWA ELECTRIC INC		PANEL TO PANEL CONNECTIONS FOR 15 WORK STATIONS	COMMERCIAL	
	INTERFACE TECHNOLOGIES NW INC		INSTALLATION OF COMMUNICATIONS CABLING	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	TITAN ELECTRIC INC		30 DAY GET STARTED: FOR WALL & CEILING COVER ONLY, REF #6285618	COMMERCIAL	
	ADT SECURITY SERVICES INC		INSTALLATION OF AN ACCESS CONTROL SYSTEM AND CCTV SYSTEM ON THE 8TH FLOOR	COMMERCIAL	
GENERAL CONTRACTOR LICENSE	RAFN COMPANY	LOT 5-6, BLOCK 34, HEIRS OF S.A.BELLS 2ND ADDITION(GETHSEMANE, A CONDOMINIUM, VOLUME 271, PAGES 40-49)	Construct new mixed-use building addition to existing Gethsemane Lutheran Church and occupy residential units only, per plan (basement,first & second floors). shell permit only. Tenant improvement under future permit (removal of north portion of structure, shoring, excavation under separate permit 6255078).	COMMERCIAL	$6,997,666.00
ELECTRICAL CONTRACTOR LICENSE	S M E INCORPORATED OF SEATTLE		WIRING FOR TI TO WEST HALF OF EXISTING SHELL & CORE	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	S M E INCORPORATED OF SEATTLE		WIRING FOR TI;	COMMERCIAL	
	BLANKET: PLAZA 600	APN 065900-0555: LTS 1-5, BLK 11, HEIR'S OF SARAH BELL ADDITION. LESS STREETS.	Blanket Permit for interior non-structural alterations to the 18th floor for TR International, per plans.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	PACIFIC FIRE & SECURITY INC		FIRE ALARM UPGRADE	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	WPCS INTL INC SEA OP		LOW VOLTAGE	COMMERCIAL	
		APN 065900-0555: LTS 1-5, BLK 11, HEIR'S OF SARAH BELL ADDITION. LESS STREETS.	interior alterations to existing Starbucks restaurant, subject to field inspection (STFI).	COMMERCIAL	$50,000.00
	DOLAN CONSTRUCTION	LOT 11, BLK 44, A. A. DENNY'S 6TH ADDITION EXC NLY 12' COND FOR STREET PER CO#9311	Tenant Improvements to existing restaurant (new name Long Restaurant), per plan.	COMMERCIAL	$100,000.00
ELECTRICAL CONTRACTOR LICENSE	S M E INCORPORATED OF SEATTLE		TENANT IMPROVMENT ON 6TH FLOOR. INSTALLING 17 FIXTURES, 7 DUPLEX RECEPTICALS AND 6 QUAD RECEPTICALS.	COMMERCIAL	
ELEVATOR CONTRACTOR LICENSE	THYSSENKRUPP ELEVATOR CORP		TEMP USE FOR ELEVATOR #5		
ELEVATOR CONTRACTOR LICENSE	THYSSENKRUPP ELEVATOR CORP		TEMP USE FOR ELEVATOR #1 CX 3980		
ELEVATOR CONTRACTOR LICENSE	OTIS ELEVATOR COMPANY		PULSE INSTALLATION.		
ELECTRICAL CONTRACTOR LICENSE, SPECIALTY CONTRACTOR LICENSE	RAINIER INDUSTRIES LTD		INSTALL (8) AWNINGS WITH NO GRAPHICS OR LIGHTS.	COMMERCIAL	
		PARCEL B, LBA #2102037(aka lot 9), TOGETHER WITH LOTS 10-12, BLOCK 26, HEIRS OF SARAH A BELL 2ND ADDN, CO #14881. 818 STEWART CONDO	Land Use Application to allow a two-story addition containing 6,905 sq. ft. of storage and 4,641 sq. ft. of fitness facility to the building currently under construction (Permit No. 2407418). No additional parking provided.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	COCHRAN INCORPORATED		GET STARTED PERMIT FOR FIRE ALARM A/P #6119105 - JOINT VENTURE BETWEEN COCHRAN & ELECTRONIC SYSTEMS CORP	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE	TRADE MARX SIGN & DISPLAY CORP		Cancel per customer request log 4354	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	SIGN FACTORY INC, THE		INSTALL NEW ILLUM SIGN FACE TO EXISTING CABINET - &quot;SHINN'S PLACE&quot;	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	COCHRAN INCORPORATED		LB WIRING. JOB #61-7659.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	S M E INCORPORATED OF SEATTLE		RE-CIRCUIT LIGHT, RECEPTACLES & DEVICES	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	S M E INCORPORATED OF SEATTLE		ADDING FIRE ALARM DEVICES	COMMERCIAL	
	SERVICE COMMUNICATIONS INC		INSTALL CAT5E CABLING, SPEAKERS CABLING	COMMERCIAL	
			RELOCATE EQUIPMENT FOR MINOR COMMUNICATION UTILITY FROM BASEMENT TO ROOF PER PLAN		
ELECTRICAL CONTRACTOR LICENSE	NORTH STAR ELECTRIC INC		RELOCATE (9) LIGHTS, INSTALL DEDICATED CIRCUITS & RECEPTACLES & RELOCATE COMMUNICATION CABLES.	COMMERCIAL	
			ADD 2-TON COMPUTER ROOM A/C UNIT (4TH FLOOR) SUBJECT TO FIELD INSPECTION (STFI)		
			CONSTR NON-BEARING PARTITION WALL IN SUITE 920 OF EXISTING OFFICE BLDG, SUBJECT TO FIELD INSPECTION		
			REPLACE HVAC SYSTEM PER PLAN		
			ALTER TO COMPLY W/ARTICLE 93 PER PLANS		
	SEATTLE SCHOOL DISTRICT (A&S)	POR OF NW 1/4 OF SW 1/4 OF NE 1/4 OF SEC 06, TS 25, R 04 (AKA GV LT 2) S 366' OF N 396' EXC E 30' EXC N 133' OF W 140', EXC W 150' OF S 264' OF N 396'	Install (1) south single portable classroom (P-1) and entry ramps/stairs for Bagley Elementary School and occupy per plan (Construct 2 new single portable classrooms / review & process for 2 APâ€™s under #6354647).	INSTITUTIONAL	$6,000.00
ELECTRICAL CONTRACTOR LICENSE	ELECTRIC CO/SEATTLE INC, THE		REPLACE BURNED UP PANEL BOX AND METER LOOP.	SINGLE FAMILY / DUPLEX	
			INSTALLING SUB-PANEL, INSTALLING POWER & SECURITY CONDUITS FOR GATE OPENERS	INDUSTRIAL	
ELECTRICAL CONTRACTOR LICENSE	MCGANN ELECTRIC LLC		REPLACE EXISTING CORRIDOR LIGHT FIXTURES 1ST AND 2ND FLOOR. ADD 18 NEW CORRIDOR LIGHT FIXTURES. REPLACE SECURITY PANEL AND KEYPAD.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	AS YOU WISH ELECTRIC		CIRCUIT FOR DUCTLESS SPLIT	MULTIFAMILY	
			Renew Ap #6125252	MULTIFAMILY	
REFRIGERATION CONTRACTOR LIC.	SELECT AIR SERVICE		NEW REFRIGERANT LINE FROM AIR HANDLER TO HEAT PUMP	SINGLE FAMILY / DUPLEX	
REFRIGERATION CONTRACTOR LIC.	GASLINE MECHANICAL INC		REFRIGERATION PIPING FROM THE INDOOR AIR HANDLERS TO OUTDOOR UNITS. R-3 CONSTRUCTION, REF BLDG A/P #6125252	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	LUMINAIRE, INC.		200AMP SERVICE CHANGE	SINGLE FAMILY / DUPLEX	
REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	MICKELO CONSTRUCTION LLC		ADD FLOW DEVICE TO EXIST. FCS; ADD PUMP & STRUCTURE; PUMP TO EXIST CURB WEEP	MULTIFAMILY	
GENERAL CONTRACTOR LICENSE	DAVIS SCHUELLER INC	WEST 3/4 OF NORTH 1/2 OF SE 1/4 OF NW 1/4 OF SE 1/4 OF SECT 19-26-4, EXC W 25' & S 25' FOR STREETS.	Construct demising wall to create additonal leasable tenant space in existing warehouse (east space #2a & 2b this permit) per plans. No change in use	COMMERCIAL	$45,000.00
		LOTS 16-22, BLK 7, OAK LAKE VILLA TRACTS, LESS N 20' OF LOT 22	Demolish existing structure. Future site of townhouses.	MULTIFAMILY	
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	BEST PLUMBING GROUP LLC		REPAIR SIDE SEWER SW AREA OF PROPERTY	SINGLE FAMILY / DUPLEX	
			DEMOLISH EXISTING DUPLEX; ESTABLISH USE FOR TWO DUPLEX TOWNHOUSES; CONSTRUCT TWO DUPLEX TOWNHOUSES WITH ATTACHED GARAGES, PER PLAN.		
ELECTRICAL CONTRACTOR LICENSE	ALLIANCE ELECTRIC INCORPORATED		WIRE NEW DUPLEX - UNITS C & D	SINGLE FAMILY / DUPLEX	
			TWO STORY ADDITION TO WOOD FRAME SINGLE FAMILY DWELLING AND ALTERATION PER PLANS		
			ESTABLISH USE FOR 4 UNIT APARTMENT BUILDING CONSTRUCT APARTMENT BUILDING AND OCCUPY PER PLANS		
			FUTURE CONST OF DECK IN THE REQUIRED SIDE YARD.		
GENERAL CONTRACTOR LICENSE	DOVETAIL GENERAL CONTRACTORS		REPAIR OF EXISTING CONCRETE TILE SIDE SEWER	COMMERCIAL	
		PARCEL A, LBA #3007309	Alterations to existing customer service office. Change use to vocational school & occupy per plans.	COMMERCIAL	$1,000.00
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	NELSON & SONS CONST CO INC		RE-ROUTE EXISTING MAIN THROUGH PRIVATE PTY & R/W ALL PER PLAN. R/W WORK &quot;NO&quot; PER SDOT	COMMERCIAL	
			Demolish building located at 4319 Stone Way N. per STFI	COMMERCIAL	
			DRY SEASON GRADING EXTENSION for, PHASE I OF III FOR CONSTRUCTION OF A 5-STORY MIXED OCCUPANCY BLDG WITH APTS ABOVE/SHORING AND EXCAVATION ONLY/BUILD PER PLANS.(New Phase II-6195657 Phase III 6155610 9/24/08 SLB).	COMMERCIAL	
	SECURFOCUS INC		LOW VOLTAGE FOR SPEAKERS	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	MERIDIAN CENTER ELECTRIC INC		REMODEL OF EXISTING STORE SPACE	COMMERCIAL	
	PACIFIC COMMUNICATION CABLING		VOICE AND DATA CABLING ONLY	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	MERIDIAN CENTER ELECTRIC INC		INSTALL 1 SWITCH AND 2 RECEPTACLES	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	POINTER ELECTRIC INCORPORATED		WIRE THE ICE MAKER ABOVE THE POP MACHINE, IF NEEDED INSTALL SERVICE RECEPTACLE NEAR EQUIPMENT ON ROOF	COMMERCIAL	
	BRINKS HOME SECURITY INC		INTRUSION ALARM	COMMERCIAL	
